COUNTSTATIONID,COUNTDATE,COUNTDIR,HOUR0,HOUR1,HOUR2,HOUR3,HOUR4,HOUR5,HOUR6,HOUR7,HOUR8,HOUR9,HOUR10,HOUR11,HOUR12,HOUR13,HOUR14,HOUR15,HOUR16,HOUR17,HOUR18,HOUR19,HOUR20,HOUR21,HOUR22,HOUR23,FormattedDate
106,20230320,P,78,69,74,76,110,229,494,717,936,1133,1401,1458,1358,1390,1473,1457,1450,1096,744,478,319,238,140,112,3/20/2023
106,20230320,S,137,87,82,91,142,273,514,892,1361,1464,1269,1252,1063,1046,1053,1076,946,737,578,467,387,299,235,181,3/20/2023
106,20230321,P,50,21,45,61,63,134,230,457,638,799,1031,1061,1120,1348,1522,1444,1300,1084,729,502,363,224,160,109,3/21/2023
106,20230321,S,125,92,57,34,124,192,380,932,1223,1226,1097,1018,927,932,895,961,856,721,629,504,429,298,218,145,3/21/2023
106,20230322,P,81,55,44,75,72,73,263,388,496,661,835,788,1023,1529,1309,1388,1317,937,652,362,243,208,151,122,3/22/2023
106,20230322,S,116,85,96,67,106,174,386,912,895,1430,1092,881,849,888,600,1297,909,769,572,506,448,376,322,202,3/22/2023
106,20230323,P,113,59,67,79,114,151,133,479,698,981,1167,1157,1351,1614,2014,2091,1907,1499,1017,570,361,373,171,129,3/23/2023
106,20230323,S,178,118,120,141,133,305,619,1531,1828,1777,1813,1359,1212,1213,1249,1329,1387,1325,1052,943,713,548,352,245,3/23/2023
106,20230324,P,112,83,100,67,83,200,336,574,757,1063,1548,1502,1492,1627,1913,2012,1832,1442,1032,701,440,228,266,172,3/24/2023
106,20230324,S,202,152,129,103,153,254,641,766,1767,1440,2008,1636,1468,1430,1664,1801,2112,2008,1597,1254,990,624,416,287,3/24/2023
106,20230325,P,110,79,76,53,86,153,372,573,862,1132,1684,2155,1970,2068,2166,1982,1989,1456,1091,816,577,445,284,207,3/25/2023
106,20230325,S,205,157,108,76,21,261,986,1714,1596,1158,1477,1739,1647,1744,1651,1652,1596,1292,965,794,645,378,330,205,3/25/2023
106,20230326,P,126,96,77,87,105,173,358,583,1051,1729,2621,2695,2654,2202,2428,1961,2231,1622,1344,1010,686,396,223,132,3/26/2023
106,20230326,S,150,86,102,62,78,159,861,1543,1249,1261,1493,1652,1667,1654,1700,1838,1529,1239,881,744,497,368,244,150,3/26/2023
106,20230327,P,74,53,49,60,105,145,355,359,410,786,1144,1306,1458,1400,1371,1366,1279,1070,745,441,336,268,192,116,3/27/2023
106,20230327,S,73,66,75,77,116,125,326,729,988,1208,1151,1147,1085,1010,1023,1110,905,766,563,471,373,292,178,166,3/27/2023
106,20230328,P,87,57,58,66,76,145,275,459,762,853,1065,1068,1152,1223,1494,1597,1601,1315,897,620,401,289,186,133,3/28/2023
106,20230328,S,119,94,69,80,127,213,465,1099,1312,1499,1397,1132,1011,957,953,1022,1010,841,628,487,408,332,226,170,3/28/2023
106,20230329,P,84,59,71,68,92,171,280,536,704,987,1188,996,1308,1526,1633,1800,1687,1223,913,633,419,294,214,146,3/29/2023
106,20230329,S,127,103,92,78,123,216,452,1109,1367,1442,1433,1171,1043,968,1080,1095,1069,939,772,594,516,395,280,239,3/29/2023
106,20230330,P,83,69,67,67,102,157,340,510,764,928,1209,1254,1361,1458,1618,1496,1608,1377,848,459,336,239,208,122,3/30/2023
106,20230330,S,180,129,85,93,128,197,578,998,1377,1552,1266,1015,1010,1449,1243,1311,1275,1212,1137,888,719,485,318,299,3/30/2023
106,20230331,P,92,71,43,64,81,131,257,503,553,1014,1179,1403,1471,1791,1578,1070,866,749,850,659,574,1340,517,135,3/31/2023
106,20230331,S,200,118,97,100,134,192,602,1133,1728,1787,1417,1363,1282,1153,1234,440,792,997,885,1047,1144,1209,835,246,3/31/2023
106,20230401,P,126,54,127,210,197,226,492,826,1178,1581,1686,2214,2277,2299,2356,2045,1957,1939,1656,999,640,496,296,211,4/1/2023
106,20230401,S,61,257,122,93,121,458,1700,1815,1996,1905,1829,1941,1422,1408,1461,1401,1353,1068,1032,756,635,418,344,263,4/1/2023
106,20230402,P,123,106,90,76,163,165,342,669,1130,1853,1949,2485,2384,2358,2273,2309,2116,1714,1476,1145,738,482,265,155,4/2/2023
106,20230402,S,145,155,105,82,81,176,725,1325,1257,1240,1266,1265,1412,1369,1384,1388,1249,1032,842,695,541,334,361,190,4/2/2023
106,20230403,P,98,62,74,65,105,228,420,676,772,1009,1337,858,1688,1322,1496,1555,1350,1166,812,562,366,265,169,125,4/3/2023
106,20230403,S,180,112,87,104,159,274,523,885,1116,1252,1319,1106,969,979,982,995,951,837,684,524,417,361,266,202,4/3/2023
106,20230405,P,155,79,54,61,79,138,313,569,736,928,1152,1097,1125,1129,1278,1297,1204,1130,853,658,451,323,248,141,4/5/2023
106,20230405,S,155,118,106,113,109,201,409,826,1055,1273,1248,1153,1018,1048,1091,1076,990,837,680,617,461,405,313,228,4/5/2023
106,20230406,P,108,80,68,80,103,185,305,343,1072,1001,1128,1037,1100,1246,1419,1532,1563,1416,922,629,414,299,216,155,4/6/2023
106,20230406,S,163,166,115,91,107,258,530,1067,1245,1450,1332,1129,1086,1132,1167,1198,1281,1323,1153,1033,792,580,435,300,4/6/2023
